ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
89101;7101;1;-1,21111;n.a;1;120;1,96488;125,05;0,34177;0,0364;0,0355;4164,03;0;4113,6;13888;13880;6856;0,3;0,6;0;123,408;0;21/03/2023 14:37:58;21/03/2023 14:39:59;0;0;19,047;19,047;19,047;19,608;19,715;19,662;0;0;2;10001;4;0;2,36445;2,3691;0,0226016;-0,00275798;402,84;-9,96;0;0;2;1;0;10022;0;0;2023.PROT01.MC7000;
89102;7101;1;-1,16867;n.a;1;120;1,96488;124,99;0,349945;0,0373;0,0359;4161,64;0;4113;13880;13876;6855;0,3;0,6;0;123,39;0;21/03/2023 14:40:04;21/03/2023 14:42:05;0;0;19,047;19,047;19,047;19,608;19,608;19,608;0;0;2;10001;4;0;2,36212;2,36445;0,0226016;-0,00275798;402,84;-9,96;0;0;2;1;0;10022;0;0;2023.PROT01.MC7000;
89103;7101;1;-1,06026;n.a;1;120;1,96488;125,008;0,33186;0,0372;0,0357;4162,53;0;4118,4;13883;13871;6864;0,3;0,6;0;123,552;0;21/03/2023 14:42:10;21/03/2023 14:44:11;0;0;19,047;19,047;19,047;19,715;19,715;19,715;0;0;2;10001;4;0;2,3592;2,3662;0,0226016;-0,00275798;402,84;-9,96;0;0;2;1;0;10022;0;0;2023.PROT01.MC7000;
89104;7101;1;0,215409;n.a;1,7214;120;1,96488;125,001;0,334934;0,0355;0,0336;4162,23;0;4171,2;13882;13868;6952;0,3;0,6;0;125,136;0;21/03/2023 14:53:13;21/03/2023 14:55:14;0;0;19,047;19,154;19,1;19,715;19,821;19,768;0;0;2;10002;8;0;2,35745;2,36561;0,0226016;-0,00275798;402,84;-9,96;0;0;2;1;0;10022;0;0;2023.PROT01.MC7000;
89105;7101;1;0,244256;n.a;1,7214;120;1,96488;124,953;0,271312;0,0353;0,0339;4159,84;0;4170;13874;13868;6950;0,3;0,6;0;125,1;0;21/03/2023 14:55:19;21/03/2023 14:57:20;0;0;19,154;19,154;19,154;19,715;19,715;19,715;0;0;2;10002;8;0;2,35745;2,36095;0,0226016;-0,00275798;402,84;-9,96;0;0;2;1;0;10022;0;0;2023.PROT01.MC7000;
89106;7101;1;0,150568;n.a;1,7214;120;1,96488;125,079;0,289539;0,0353;0,0337;4165,53;0;4171,8;13893;13869;6953;0,3;0,6;0;125,154;0;21/03/2023 14:57:25;21/03/2023 14:59:26;0;0;19,047;19,154;19,1;19,821;19,821;19,821;0;0;2;10002;8;0;2,35804;2,37201;0,0226016;-0,00275798;402,84;-9,96;0;0;2;1;0;10022;0;0;2023.PROT01.MC7000;
89107;7101;2;0,372612;n.a;1,7214;120;0,78595;49,8841;0,803684;0,0614;0,0634;1662,8;1658,86;1669;16573;16572;8345;0,1;0,2;0;50,07;0;21/03/2023 15:03:01;21/03/2023 15:05:07;0,072069;0,083435;19,154;19,154;19,154;19,289;19,182;19,236;0;0;2;0;0;0;2,35804;2,37201;-0,286503;-0,0239837;2171,8;513,2;0;0;5;1;0;10022;0;0;2023.PROT01.MC7000;
89108;7101;2;0,325852;n.a;1,7214;120;0,78595;49,5485;0,333465;0,0612;0,0632;1651,62;1647,67;1657;16455;16448;8285;0,1;0,2;0;49,71;0;21/03/2023 15:05:17;21/03/2023 15:07:23;0,08026;0,08431;19,047;19,154;19,1;19,395;19,289;19,342;0;0;2;0;0;0;2,35804;2,37201;0,245106;-0,286503;3820;2171,8;0;0;5;1;0;10022;0;0;2023.PROT01.MC7000;
89109;7101;2;0,221608;n.a;1,7214;120;0,78595;50,6777;0,34621;0,0622;0,064;1689,26;1685,25;1693;16839;16847;8465;0,1;0,2;0;50,79;0;21/03/2023 15:08:40;21/03/2023 15:10:46;0,079368;0,083429;19,154;19,261;19,208;19,289;19,182;19,236;0;0;2;0;0;0;2,35804;2,37201;-0,281872;-0,0297008;2229,6;544,6;0;0;5;1;0;10022;0;0;2023.PROT01.MC7000;
89110;7101;3;0,48553;n.a;1,7214;120;0,392975;25,3081;0,067754;0,0425;0,045;843,604;841,595;847,7;16835;16888;8477;0,05;0,1;0;25,431;0;21/03/2023 15:13:41;21/03/2023 15:15:47;0,079963;0,082431;19,154;19,154;19,154;19,289;19,289;19,289;0;0;3;0;0;0;2,35804;2,37201;-0,225187;-0,0298132;1386,6;545,2;0;0;5;3;0;10022;0;0;2023.PROT01.MC7000;
