ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
91394;7291;1;14,637;n.a;1,3197;120;1,96488;124,881;0,181945;0,0619;0,0605;4158,34;0;4767;13869;13859;7945;0,3;0,6;0;143,01;0;02/05/2023 17:15:23;02/05/2023 17:17:24;0;0;19,475;19,475;19,475;20,461;20,354;20,408;0;0;2;10001;4;0;2,3522;2,35804;0,0240229;0,0176382;281,2;38,44;0;0;2;0;0;10022;0;0;2023.PROT01.MC7000;
91395;7291;1;14,6513;n.a;1,3197;120;1,96488;124,985;0,207488;0,0644;0,0621;4162,53;0;4772,4;13883;13872;7954;0,3;0,6;0;143,172;0;02/05/2023 17:17:29;02/05/2023 17:19:30;0;0;19,475;19,475;19,475;20,354;20,354;20,354;0;0;2;10001;4;0;2,35979;2,3662;0,0240229;0,0176382;281,2;38,44;0;0;2;0;0;10022;0;0;2023.PROT01.MC7000;
91396;7291;1;14,6205;n.a;1,3197;120;1,96488;124,971;0,267959;0,064;0,0625;4161,04;0;4769,4;13878;13863;7949;0,3;0,6;0;143,082;0;02/05/2023 17:19:35;02/05/2023 17:21:36;0;0;19,475;19,475;19,475;20,354;20,354;20,354;0;0;2;10001;4;0;2,35453;2,36329;0,0240229;0,0176382;281,2;38,44;0;0;2;0;0;10022;0;0;2023.PROT01.MC7000;
91397;7291;1;-0,116283;n.a;1,1512;120;1,96488;124,987;0,271719;0,0632;0,0621;4160,44;0;4155,6;13876;13871;6926;0,3;0,6;0;124,668;0;02/05/2023 17:24:00;02/05/2023 17:26:02;0;0;19,582;19,582;19,582;20,354;20,461;20,408;0;0;2;10002;8;0;2,3592;2,36212;0,0240229;0,0176382;281,2;38,44;0;0;2;0;0;10022;0;0;2023.PROT01.MC7000;
91398;7291;1;-0,152109;n.a;1,1512;120;1,96488;125,013;0,14497;0,063;0,0624;4163,13;0;4156,8;13885;13874;6928;0,3;0,6;0;124,704;0;02/05/2023 17:26:07;02/05/2023 17:28:08;0;0;19,582;19,582;19,582;20,354;20,354;20,354;0;0;2;10002;8;0;2,36095;2,36736;0,0240229;0,0176382;281,2;38,44;0;0;2;0;0;10022;0;0;2023.PROT01.MC7000;
91399;7291;1;-0,0729892;n.a;1,1512;120;1,96488;124,955;0,20113;0,0642;0,0622;4161,04;0;4158;13878;13866;6930;0,3;0,6;0;124,74;0;02/05/2023 17:28:13;02/05/2023 17:30:14;0;0;19,475;19,475;19,475;20,461;20,354;20,408;0;0;2;10002;8;0;2,35629;2,36329;0,0240229;0,0176382;281,2;38,44;0;0;2;0;0;10022;0;0;2023.PROT01.MC7000;
91400;7291;2;0,0205989;n.a;1,15121;120;0,78595;49,3878;0,224328;0,0573;0,0587;1646,26;1642,06;1646,6;16430;16425;8233;0,1;0,2;0;49,398;0;03/05/2023 09:19:45;03/05/2023 09:21:51;0,067079;0,080388;18,94;18,94;18,94;20,141;20,141;20,141;0;0;2;0;0;0;2,35629;2,36329;-0,285491;-0,029626;2186;544,2;0;0;5;0;0;10022;0;0;2023.PROT01.MC7000;
91401;7291;2;-0,0406736;n.a;1,15121;120;0,78595;49,3581;0,300333;0,0581;0,0589;1645,27;1641,07;1644,6;16430;16402;8223;0,1;0,2;0;49,338;0;03/05/2023 09:22:01;03/05/2023 09:24:08;0,075703;0,080921;18,94;18,94;18,94;20,141;20,141;20,141;0;0;2;0;0;0;2,35629;2,36329;0,248142;-0,285491;3827,6;2186;0;0;5;0;0;10022;0;0;2023.PROT01.MC7000;
91402;7291;2;-0,0452847;n.a;1,15121;120;0,78595;50,9391;0,32021;0,0588;0,06;1697,97;1693,65;1697,2;16942;16941;8486;0,1;0,2;0;50,916;0;03/05/2023 09:25:24;03/05/2023 09:27:30;0,077851;0,08072;18,833;18,94;18,886;20,141;20,035;20,088;0;0;2;0;0;0;2,35629;2,36329;-0,280759;-0,0303392;2241,4;548;0;0;5;0;0;10022;0;0;2023.PROT01.MC7000;
91403;7291;3;-0,0164259;n.a;1,15121;120;0,392975;25,2822;0,0499178;0,043;0,0443;842,738;840,595;842,6;16830;16885;8426;0,05;0,1;0;25,278;0;03/05/2023 09:32:20;03/05/2023 09:34:26;0,077894;0,080206;19,047;18,94;18,994;20,141;20,035;20,088;0;0;3;0;0;0;2,35629;2,36329;-0,222965;-0,0279552;1375,6;535,2;0;0;5;0;0;10022;0;0;2023.PROT01.MC7000;
