DataOra	Valore	
12/09/2023 10:00:00	-11.59	
12/09/2023 09:45:00	0.00	
12/09/2023 09:30:00	16.43	
12/09/2023 09:15:00	4.97	
12/09/2023 09:00:00	4.97	
12/09/2023 08:45:00	5.03	
12/09/2023 08:30:00	6.08	
12/09/2023 08:15:00	6.08	
12/09/2023 08:00:00	7.66	
12/09/2023 07:45:00	5.56	
12/09/2023 07:30:00	12.63	
12/09/2023 07:15:00	12.63	
12/09/2023 07:00:00	6.79	
12/09/2023 06:45:00	4.95	
12/09/2023 06:30:00	3.79	
12/09/2023 06:15:00	3.79	
12/09/2023 06:00:00	2.48	
12/09/2023 05:45:00	-12.10	
12/09/2023 05:30:00	-12.10	
12/09/2023 05:15:00	3.62	
12/09/2023 05:00:00	-7.29	
12/09/2023 04:45:00	0.00	
12/09/2023 04:30:00	0.00	
12/09/2023 04:15:00	0.00	
12/09/2023 04:00:00	0.00	
12/09/2023 03:45:00	-0.69	
12/09/2023 03:30:00	-0.69	
12/09/2023 03:15:00	13.10	
12/09/2023 03:00:00	4.51	
12/09/2023 02:45:00	4.51	
12/09/2023 02:30:00	0.00	
12/09/2023 02:15:00	-1.63	
12/09/2023 02:00:00	-1.63	
12/09/2023 01:45:00	0.99	
12/09/2023 01:30:00	9.77	
12/09/2023 01:15:00	9.77	
12/09/2023 01:00:00	-2.37	
12/09/2023 00:45:00	6.34	
12/09/2023 00:30:00	-9.70	
12/09/2023 00:15:00	0.00	
12/09/2023 00:00:00	0.00	
11/09/2023 23:45:00	-9.84	
11/09/2023 23:30:00	-9.84	
11/09/2023 23:15:00	-1.73	
11/09/2023 23:00:00	3.81	
11/09/2023 22:45:00	3.81	
11/09/2023 22:30:00	1.46	
11/09/2023 22:15:00	7.74	
11/09/2023 22:00:00	-2.84	
11/09/2023 21:45:00	-2.84	
11/09/2023 21:30:00	0.00	
11/09/2023 21:15:00	-0.99	
11/09/2023 21:00:00	-6.10	
11/09/2023 20:45:00	-6.10	
11/09/2023 20:30:00	10.71	
11/09/2023 20:15:00	6.93	
11/09/2023 20:00:00	2.36	
11/09/2023 19:45:00	8.67	
11/09/2023 19:30:00	0.00	
11/09/2023 19:15:00	0.00	
11/09/2023 19:00:00	5.92	
11/09/2023 18:45:00	5.53	
11/09/2023 18:30:00	10.65	
11/09/2023 18:15:00	10.65	
11/09/2023 18:00:00	2.21	
11/09/2023 17:45:00	0.00	
11/09/2023 17:30:00	-6.52	
11/09/2023 17:15:00	-8.55	
11/09/2023 17:00:00	0.00	
