DataOra	Valore	
12/09/2023 14:15:00	13.50	
12/09/2023 14:00:00	15.85	
12/09/2023 13:45:00	15.18	
12/09/2023 13:30:00	27.79	
12/09/2023 13:15:00	30.17	
12/09/2023 13:00:00	32.71	
12/09/2023 12:45:00	31.96	
12/09/2023 12:30:00	32.32	
12/09/2023 12:15:00	18.31	
12/09/2023 12:00:00	15.54	
12/09/2023 11:45:00	14.63	
12/09/2023 11:30:00	16.02	
12/09/2023 11:15:00	13.83	
12/09/2023 11:00:00	17.67	
12/09/2023 10:45:00	16.89	
12/09/2023 10:30:00	21.98	
12/09/2023 10:15:00	27.78	
12/09/2023 10:00:00	26.88	
12/09/2023 09:45:00	26.37	
12/09/2023 09:30:00	25.67	
12/09/2023 09:15:00	25.99	
12/09/2023 09:00:00	27.48	
12/09/2023 08:45:00	29.16	
12/09/2023 08:30:00	29.84	
12/09/2023 08:15:00	18.97	
12/09/2023 08:00:00	17.65	
12/09/2023 07:45:00	15.03	
12/09/2023 07:30:00	16.42	
12/09/2023 07:15:00	22.81	
12/09/2023 07:00:00	26.66	
12/09/2023 06:45:00	27.85	
12/09/2023 06:30:00	27.15	
12/09/2023 06:15:00	26.56	
12/09/2023 06:00:00	13.42	
12/09/2023 05:45:00	11.20	
12/09/2023 05:30:00	10.46	
12/09/2023 05:15:00	9.95	
12/09/2023 05:00:00	13.07	
12/09/2023 04:45:00	12.99	
12/09/2023 04:30:00	11.91	
12/09/2023 04:15:00	12.17	
12/09/2023 04:00:00	12.20	
12/09/2023 03:45:00	12.11	
12/09/2023 03:30:00	12.21	
12/09/2023 03:15:00	13.06	
12/09/2023 03:00:00	12.99	
12/09/2023 02:45:00	13.21	
12/09/2023 02:30:00	14.53	
12/09/2023 02:15:00	14.54	
12/09/2023 02:00:00	9.62	
12/09/2023 01:45:00	9.91	
12/09/2023 01:30:00	11.10	
12/09/2023 01:15:00	10.42	
12/09/2023 01:00:00	10.53	
12/09/2023 00:45:00	15.24	
12/09/2023 00:30:00	27.05	
12/09/2023 00:15:00	27.13	
12/09/2023 00:00:00	26.31	
11/09/2023 23:45:00	26.28	
11/09/2023 23:30:00	11.27	
11/09/2023 23:15:00	13.21	
11/09/2023 23:00:00	11.64	
11/09/2023 22:45:00	13.47	
11/09/2023 22:30:00	13.09	
11/09/2023 22:15:00	14.13	
11/09/2023 22:00:00	16.02	
11/09/2023 21:45:00	15.98	
11/09/2023 21:30:00	26.44	
11/09/2023 21:15:00	29.16	
11/09/2023 21:00:00	29.69	
11/09/2023 20:45:00	28.84	
11/09/2023 20:30:00	25.86	
11/09/2023 20:15:00	26.45	
11/09/2023 20:00:00	17.80	
11/09/2023 19:45:00	14.73	
11/09/2023 19:30:00	15.87	
11/09/2023 19:15:00	19.52	
11/09/2023 19:00:00	27.29	
11/09/2023 18:45:00	29.23	
11/09/2023 18:30:00	27.88	
11/09/2023 18:15:00	27.40	
11/09/2023 18:00:00	27.39	
11/09/2023 17:45:00	12.46	
11/09/2023 17:30:00	14.41	
11/09/2023 17:15:00	12.62	
11/09/2023 17:00:00	12.38	
11/09/2023 16:45:00	13.02	
11/09/2023 16:30:00	14.73	
11/09/2023 16:15:00	13.77	
11/09/2023 16:00:00	12.35	
11/09/2023 15:45:00	13.75	
11/09/2023 15:30:00	15.84	
11/09/2023 15:15:00	16.71	
11/09/2023 15:00:00	27.51	
11/09/2023 14:45:00	26.61	
11/09/2023 14:30:00	26.48	
11/09/2023 14:15:00	28.01	
11/09/2023 14:00:00	27.29	
11/09/2023 13:45:00	26.63	
11/09/2023 13:30:00	28.10	
11/09/2023 13:15:00	15.18	
11/09/2023 13:00:00	15.57	
11/09/2023 12:45:00	14.14	
11/09/2023 12:30:00	14.57	
11/09/2023 12:15:00	15.78	
11/09/2023 12:00:00	27.98	
11/09/2023 11:45:00	31.19	
11/09/2023 11:30:00	31.51	
11/09/2023 11:15:00	29.96	
