DataOra	Valore	
12/09/2023 10:15:00	13.65	
12/09/2023 10:00:00	13.65	
12/09/2023 09:45:00	18.95	
12/09/2023 09:30:00	18.95	
12/09/2023 09:15:00	17.51	
12/09/2023 09:00:00	2.35	
12/09/2023 08:45:00	4.94	
12/09/2023 08:30:00	0.00	
12/09/2023 08:15:00	7.46	
12/09/2023 08:00:00	9.53	
12/09/2023 07:45:00	9.53	
12/09/2023 07:30:00	6.25	
12/09/2023 07:15:00	0.00	
12/09/2023 07:00:00	0.00	
12/09/2023 06:45:00	0.00	
12/09/2023 06:30:00	8.27	
12/09/2023 06:15:00	-3.72	
12/09/2023 06:00:00	0.00	
12/09/2023 05:45:00	-2.79	
12/09/2023 05:30:00	-2.17	
12/09/2023 05:15:00	-1.56	
12/09/2023 05:00:00	-3.51	
12/09/2023 04:45:00	0.00	
12/09/2023 04:30:00	3.24	
12/09/2023 04:15:00	-2.64	
12/09/2023 04:00:00	-10.70	
12/09/2023 03:45:00	-10.70	
12/09/2023 03:30:00	-10.37	
12/09/2023 03:15:00	-8.89	
12/09/2023 03:00:00	-10.40	
12/09/2023 02:45:00	-7.60	
12/09/2023 02:30:00	-7.60	
12/09/2023 02:15:00	-7.49	
12/09/2023 02:00:00	-7.29	
12/09/2023 01:45:00	-8.83	
12/09/2023 01:30:00	-7.46	
12/09/2023 01:15:00	-4.93	
12/09/2023 01:00:00	-9.02	
12/09/2023 00:45:00	-9.30	
12/09/2023 00:30:00	-9.30	
12/09/2023 00:15:00	-9.36	
12/09/2023 00:00:00	-9.36	
11/09/2023 23:45:00	-8.60	
11/09/2023 23:30:00	-7.76	
11/09/2023 23:15:00	7.18	
11/09/2023 23:00:00	7.18	
11/09/2023 22:45:00	-3.98	
11/09/2023 22:30:00	-2.02	
11/09/2023 22:15:00	-4.71	
11/09/2023 22:00:00	-4.71	
11/09/2023 21:45:00	0.00	
11/09/2023 21:30:00	10.02	
11/09/2023 21:15:00	10.02	
11/09/2023 21:00:00	1.69	
11/09/2023 20:45:00	11.42	
11/09/2023 20:30:00	11.42	
11/09/2023 20:15:00	17.48	
11/09/2023 20:00:00	28.14	
11/09/2023 19:45:00	32.12	
11/09/2023 19:30:00	11.27	
11/09/2023 19:15:00	11.27	
11/09/2023 19:00:00	8.42	
11/09/2023 18:45:00	10.94	
11/09/2023 18:30:00	2.34	
11/09/2023 18:15:00	0.00	
11/09/2023 18:00:00	-2.99	
11/09/2023 17:45:00	0.00	
11/09/2023 17:30:00	0.00	
11/09/2023 17:15:00	0.00	
11/09/2023 17:00:00	16.45	
11/09/2023 16:45:00	17.64	
11/09/2023 16:30:00	20.83	
11/09/2023 16:15:00	16.50	
11/09/2023 16:00:00	2.02	
11/09/2023 15:45:00	6.37	
11/09/2023 15:30:00	6.37	
11/09/2023 15:15:00	9.13	
11/09/2023 15:00:00	0.00	
11/09/2023 14:45:00	0.00	
11/09/2023 14:30:00	-5.29	
11/09/2023 14:15:00	-1.70	
11/09/2023 14:00:00	0.00	
11/09/2023 13:45:00	0.00	
11/09/2023 13:30:00	0.00	
11/09/2023 13:15:00	0.00	
11/09/2023 13:00:00	-4.01	
