"idsai_to_pdl","num_bdl","data_caricamento","codice_articolo","descrizione_articolo","part_program","note","part_program5"
1,B_20210011002,"2021-12-06 00:00:00",MUT7000 DN80,MUT7000,"010",BDL DI TEST,
2,B_20210011003,"2021-12-06 00:00:00",MUT7000 DN100,MUT7000,"011",BDL DI TEST,
3,B_20210011004,"2021-12-06 00:00:00",MUT7000 DN50,MUT7000,"006",BDL DI TEST,
4,B125548654,"2021-12-07 10:46:36",MUT7000 DN100,MUT7000 DN100,"003",test di collaudo,
5,B20211002339,"2021-12-07 10:56:46",MUT7000 DN80,MUT7000 DN80,"002",test di collaudo,
6,"21013502000001","2021-12-09 12:42:25",MUT7000 DN80,MUT7000 DN80,"000",test di collaudo,
7,"21013496000001","2021-12-09 12:53:43",MUT7000 DN80,MUT7000 DN80,"001",test di collaudo,
8,BKJKDfjkldfkld,"2021-12-09 15:51:48",MUT7000 DN80,MUT7000 DN80,"002",test di collaudo,
9,FFDGFGG,"2021-12-09 17:51:44",MUT7000 DN50,MUT7000 DN50,"004",test di collaudo,
10,"210","2021-12-09 17:56:48",MUT7000 DN50,MUT7000 DN50,"004",test di collaudo,
11,"21014385000001","2021-12-10 12:13:42",MUT7000 DN50,MUT7000 DN50,"004",test di collaudo,
12,"21014386000001","2021-12-10 12:26:53",MUT7000 DN80,MUT7000 DN80,"002",test di collaudo,
13,"21014387000001","2021-12-13 09:35:19",MUT7000 DN80,MUT7000 DN80,"005",test di collaudo,
14,"21014389000001","2021-12-14 12:17:10",m170080G16PF,MUT7000 PIPE DN80 GROOVED test   ,"1","",
15,"21011966000001","2021-12-09 18:18:21",M170080G16PF,MUT7000 PIPE DN80 GROOVED PN16  PL A316  ,aabbcc,"",
16,"21014388000001","2021-12-14 11:54:30",m170080G16PF,MUT7000 PIPE DN80 GROOVED test   ,"1","",
17,"21014877000001","2021-12-15 08:47:05",m170080G16PF,MUT7000 PIPE DN80 GROOVED test   ,"1","",
18,"21014878000001","2021-12-15 10:23:25",m170080G16PF,MUT7000 PIPE DN80 GROOVED test   ,"1","",
19,"21014882000001","2021-12-15 10:59:21",M270080G16PF2A_T4,MUT7000 res.41(100cc)+testPDL5   ,"0","",
20,"22002816000001","2022-02-25 16:40:45",M270080G16PF2A,MUT7000 ASSEMBLED DN80 GROOVED  PN16 PL A316 2 MT.CABLE STD  ,"0","",
21,"22003026000001","2022-03-02 10:13:11",M270080G16PF2A,MUT7000 ASSEMBLED DN80 GROOVED  PN16 PL A316 2 MT.CABLE STD  ,"0","",
22,"22003037000001","2022-03-02 10:14:21",M270080G16PF2A,MUT7000 ASSEMBLED DN80 GROOVED  PN16 PL A316 2 MT.CABLE STD  ,"0","",
