ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
124453;9808;1;-7,28745;n.a;0,6011;120;3,1438;199,978;0,128344;0,0639;0,0202;6669;0;6183;14820;15041;6870;0,45;0,9;0;185,49;0;04/07/1990 02:36:23;04/07/1990 02:38:24;0;0;19,814;19,823;19,818;18;18;18;0;0;1;10001;4;0;0;0;0,0357079;0,00384405;49,886;0,628;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
124454;9808;1;-7,23973;n.a;0,6011;120;3,1438;199,993;0,111313;0,0642;0,0201;6669,45;0;6186,6;14821;15038;6874;0,45;0,9;0;185,598;0;04/07/1990 02:38:29;04/07/1990 02:40:30;0;0;19,817;19,784;19,8;18;18;18;0;0;1;10001;4;0;0;0;0,0357079;0,00384405;49,886;0,628;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
124455;9808;1;-7,28745;n.a;0,6011;120;3,1438;199,976;0,147008;0,0641;0,0199;6669;0;6183;14820;15039;6870;0,45;0,9;0;185,49;0;04/07/1990 02:40:35;04/07/1990 02:42:36;0;0;19,785;19,832;19,808;18;18;18;0;0;1;10001;4;0;0;0;0,0357079;0,00384405;49,886;0,628;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
124456;9808;1;-0,0539753;n.a;0,6482;120;3,1438;200,007;0,146372;0,0647;0,0194;6669,9;0;6666,3;14822;15048;7407;0,45;0,9;0;199,989;0;04/07/1990 02:43:06;04/07/1990 02:45:07;0;0;19,863;19,781;19,822;18;18;18;0;0;1;10002;8;0;0;0;0,0357079;0,00384405;49,886;0,628;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
124457;9808;1;-0,0337359;n.a;0,6482;120;3,1438;200,011;0,116051;0,0643;0,0189;6669,45;0;6667,2;14821;15036;7408;0,45;0,9;0;200,016;0;04/07/1990 02:45:12;04/07/1990 02:47:13;0;0;19,787;19,917;19,852;18;18;18;0;0;1;10002;8;0;0;0;0,0357079;0,00384405;49,886;0,628;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
124458;9808;1;-0,0944713;n.a;0,6482;120;3,1438;199,994;0,104727;0,0639;0,0188;6669;0;6662,7;14820;15042;7403;0,45;0,9;0;199,881;0;04/07/1990 02:47:18;04/07/1990 02:49:19;0;0;19,789;19,901;19,845;18;18;18;0;0;1;10002;8;0;0;0;0,0357079;0,00384405;49,886;0,628;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
124459;9808;2;-0,102759;n.a;0,6482;120;5,97322;379,43;0,239545;0,1081;0,0806;12651;0;12638;12651;12821;6319;1;2;0;379,14;0;04/07/1990 02:52:20;04/07/1990 02:54:21;0;0;19,799;19,906;19,852;18,125;18,125;18,125;0;0;1;0;0;0;0;0;0,0357079;0,00384405;49,886;0,628;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
124460;9808;2;-0,0236873;n.a;0,6482;120;5,97322;379,84;0,202991;0,1115;0,0816;12665;0;12662;12665;12847;6331;1;2;0;379,86;0;04/07/1990 02:54:26;04/07/1990 02:56:27;0;0;19,899;19,887;19,893;18,125;18,25;18,188;0;0;1;0;0;0;0;0;0,0357079;0,00384405;49,886;0,628;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
124461;9808;2;-0,0789266;n.a;0,6482;120;5,97322;380,04;0,181929;0,1094;0,0253;12670;0;12660;12670;12860;6330;1;2;0;379,8;0;04/07/1990 02:56:32;04/07/1990 02:58:33;0;0;19,885;19,838;19,862;18,25;18,25;18,25;0;0;1;0;0;0;0;0;0,0357079;0,00384405;49,886;0,628;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
124462;9808;3;0,0225408;n.a;0,6482;200;0,62876;40,2785;0,340848;0,0732;0,0128;2237,7;2232,95;2238,2;22375;22387;11191;0,1;0,2;0;40,2876;0;04/07/1990 03:46:54;04/07/1990 03:50:20;0,085079;0,093431;20,169;20,223;20,196;18;17,875;17,938;0;0;2;0;0;0;0;0;-0,175481;-0,0276609;2766,4;533,6;0;0;5;3;0;10022;0;0;2025.R7K00183.R7K00183;
