ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
90572;7224;1;1,55623;n.a;1,34;120;1,96488;124,939;0,293673;0,0494;0,0487;4161,64;0;4226,4;13880;13873;7044;0,3;0,6;0;126,792;0;13/04/2023 16:12:04;13/04/2023 16:14:05;0;0;17,013;17,013;17,013;23,02;23,02;23,02;0;0;2;10001;4;0;2,36037;2,36445;0,0212363;0,0245901;325,86;18,12;0;0;2;1;0;10022;0;0;2023.PROT01.MC7000;
90573;7224;1;1,57045;n.a;1,34;120;1,96488;125,008;0,309111;0,0502;0,0492;4162,23;0;4227,6;13882;13877;7046;0,3;0,6;0;126,828;0;13/04/2023 16:14:10;13/04/2023 16:16:11;0;0;17,227;17,12;17,174;23,02;23,02;23,02;0;0;2;10001;4;0;2,3627;2,36561;0,0212363;0,0245901;325,86;18,12;0;0;2;1;0;10022;0;0;2023.PROT01.MC7000;
90574;7224;1;1,49837;n.a;1,34;120;1,96488;124,979;0,287238;0,0494;0,0487;4162,23;0;4224,6;13882;13872;7041;0,3;0,6;0;126,738;0;13/04/2023 16:16:16;13/04/2023 16:18:17;0;0;17,12;17,12;17,12;23,02;23,02;23,02;0;0;2;10001;4;0;2,35979;2,36561;0,0212363;0,0245901;325,86;18,12;0;0;2;1;0;10022;0;0;2023.PROT01.MC7000;
90575;7224;1;-0,0438721;n.a;1,3197;120;1,96488;125,091;0,222535;0,0492;0,0482;4165,83;0;4164;13894;13889;6940;0,3;0,6;0;124,92;0;13/04/2023 16:18:46;13/04/2023 16:20:47;0;0;17,12;17,227;17,174;22,913;23,02;22,966;0;0;2;10002;8;0;2,36969;2,37259;0,0212363;0,0245901;325,86;18,12;0;0;2;1;0;10022;0;0;2023.PROT01.MC7000;
90576;7224;1;-0,253251;n.a;1,3197;120;1,96488;124,926;0,261955;0,0489;0,0479;4160,74;0;4150,2;13877;13868;6917;0,3;0,6;0;124,506;0;13/04/2023 16:20:52;13/04/2023 16:22:53;0;0;17,227;17,334;17,28;23,02;23,02;23,02;0;0;2;10002;8;0;2,35745;2,3627;0,0212363;0,0245901;325,86;18,12;0;0;2;1;0;10022;0;0;2023.PROT01.MC7000;
90577;7224;1;-0,0368569;n.a;1,3197;120;1,96488;124,967;0,185309;0,0501;0,0497;4162,53;0;4161;13883;13868;6935;0,3;0,6;0;124,83;0;13/04/2023 16:22:58;13/04/2023 16:24:59;0;0;17,334;17,441;17,388;23,02;23,02;23,02;0;0;2;10002;8;0;2,35745;2,3662;0,0212363;0,0245901;325,86;18,12;0;0;2;1;0;10022;0;0;2023.PROT01.MC7000;
90578;7224;2;0,0562171;n.a;1,3197;120;0,78595;49,886;0,675664;0,0607;0,0626;1662,87;1658,06;1663,8;16592;16590;8319;0,1;0,2;0;49,914;0;13/04/2023 16:28:24;13/04/2023 16:30:30;0,064612;0,082625;17,441;17,441;17,441;21,74;21,634;21,687;0;0;2;0;0;0;2,35745;2,3662;-0,286379;-0,0244445;2173,6;515,8;0;0;5;1;0;10022;0;0;2023.PROT01.MC7000;
90579;7224;2;0,120161;n.a;1,3197;120;0,78595;49,5185;0,253597;0,0604;0,0628;1650,62;1645,87;1652,6;16464;16466;8263;0,1;0,2;0;49,578;0;13/04/2023 16:30:40;13/04/2023 16:32:46;0,079643;0,084111;17,441;17,548;17,494;21,634;21,634;21,634;0;0;2;0;0;0;2,35745;2,3662;0,245106;-0,286379;3820;2173,6;0;0;5;1;0;10022;0;0;2023.PROT01.MC7000;
90580;7224;2;-0,406942;n.a;1,3197;120;0,78595;50,6361;0,262878;0,0615;0,0634;1687,87;1683,05;1681;16838;16836;8405;0,1;0,2;0;50,43;0;13/04/2023 16:34:03;13/04/2023 16:36:09;0,080226;0,081829;17,548;17,548;17,548;21,634;21,42;21,527;0;0;2;0;0;0;2,35745;2,3662;-0,282488;-0,028843;2222,8;540;0;0;5;1;0;10022;0;0;2023.PROT01.MC7000;
90581;7224;3;-2,64474;n.a;1,3197;120;0,392975;25,2837;0,0665023;0,0412;0,0419;842,79;840,395;820,5;16824;16880;8205;0,05;0,1;0;24,615;0;13/04/2023 17:24:45;13/04/2023 17:26:51;0,077151;0,080779;17,976;18,083;18,03;21,527;21,42;21,474;0;0;3;0;0;2;2,35745;2,3662;-0,225629;-0,0304522;1388,8;548,6;0;0;5;1;0;10999;0;0;2023.PROT01.MC7000;
90582;7224;3;-4,59862;n.a;1,3197;120;0,392975;25,2795;0,0693732;0,0411;0,0424;842,65;840,256;803,9;16827;16841;8039;0,05;0,1;0;24,117;0;13/04/2023 17:27:01;13/04/2023 17:29:07;0,078337;0,080303;17,976;17,976;17,976;21,42;21,527;21,474;0;0;3;0;0;2;2,35745;2,3662;-0,281927;-0,225629;2229;1388,8;0;0;5;1;0;10999;0;0;2023.PROT01.MC7000;
90583;7224;3;-1,13734;n.a;1,3197;120;0,392975;25,2775;0,104726;0,0411;0,042;842,583;840,189;833;16825;16875;8330;0,05;0,1;0;24,99;0;13/04/2023 17:29:17;13/04/2023 17:31:23;0,077083;0,080958;17,976;17,976;17,976;21,527;21,42;21,474;0;0;3;0;0;0;2,35745;2,3662;-0,0712541;-0,281927;3069,4;2229;0;0;5;1;0;10022;0;0;2023.PROT01.MC7000;
90584;7224;3;1,02709;n.a;1,3197;120;0,392975;25,2853;0,079597;0,0411;0,0423;842,843;840,449;851,5;16828;16874;8515;0,05;0,1;0;25,545;0;13/04/2023 17:31:33;13/04/2023 17:33:40;0,076826;0,082507;17,976;17,976;17,976;21,527;21,42;21,474;0;0;3;0;0;0;2,35745;2,3662;0,280145;-0,0712541;3910,2;3069,4;0;0;5;1;0;10022;0;0;2023.PROT01.MC7000;
90585;7224;3;-4,60402;n.a;1,3197;120;0,392975;25,3375;0,100752;0,0413;0,0422;844,585;842,195;805,7;16867;16918;8057;0,05;0,1;0;24,171;0;13/04/2023 17:34:57;13/04/2023 17:37:03;0,076556;0,080565;17,976;18,083;18,03;21,42;21,42;21,42;0;0;3;0;0;2;2,35745;2,3662;-0,225308;-0,0298132;1387,2;545,2;0;0;5;1;0;10999;0;0;2023.PROT01.MC7000;
90586;7224;3;-0,728621;n.a;1,3197;120;0,392975;25,2852;0,0626452;0,0412;0,0423;842,841;840,457;836,7;16821;16878;8367;0,05;0,1;0;25,101;0;13/04/2023 17:37:13;13/04/2023 17:39:19;0,076737;0,080207;17,976;17,976;17,976;21,42;21,42;21,42;0;0;3;0;0;0;2,35745;2,3662;-0,282055;-0,225308;2227,6;1387,2;0;0;5;1;0;10022;0;0;2023.PROT01.MC7000;
90587;7224;4;-1,63645;n.a;1,3197;120;0,078595;4,99392;0,0333574;0,045;0,0463;166,464;166,033;163,74;16650;0;8187;0,01;0,02;0;4,9122;0;14/04/2023 08:54:24;14/04/2023 08:56:30;0,072483;0,074607;16,799;16,799;16,799;20,354;20,248;20,301;0;0;4;0;0;0;2,35745;2,3662;0,02374;-0,00295382;217,88;51,82;0;0;6;3;0;10022;0;0;2023.PROT01.MC7000;
90588;7224;4;-2,60343;n.a;1,3197;120;0,078595;4,99669;0,0684273;0,045;0,0463;166,556;166,123;162,22;16651;0;8111;0,01;0,02;0;4,8666;0;14/04/2023 08:56:40;14/04/2023 08:58:46;0,071804;0,06807;16,799;16,799;16,799;20,354;20,354;20,354;0;0;4;0;0;0;2,35745;2,3662;0,0204117;0,02374;384;217,88;0;0;6;3;0;10022;0;0;2023.PROT01.MC7000;
